GBManhattanDistances FeatureIds
2 4
2 4
2 4
2 4
2 4
2 4
2 4
1 4
1 4
1 4
2 2
2 2
2 2
1 2
0 2
0 22
1 22
0 22
0 22
0 22
0 11
0 36
0 36
1 36
1 36
0 36
0 36
0 36
0 36
0 31
1 31
2 31
2 31
2 31
1 31
0 31
0 33
1 33
0 33
0 46
1 46
2 46
3 46
3 46
2 46
1 46
0 46
0 28
1 28
0 28
0 28
0 6
1 6
2 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
2 4
2 4
2 4
2 4
2 4
2 4
1 4
1 4
1 4
1 2
1 2
1 2
0 2
0 22
1 22
2 22
2 22
1 22
1 22
0 22
0 36
1 36
2 36
2 36
1 36
1 36
1 36
0 36
0 31
1 31
1 31
1 31
1 31
1 31
0 31
0 33
1 33
1 33
0 33
0 46
1 46
2 46
3 46
2 46
2 46
1 46
0 46
0 28
0 6
0 6
1 6
2 6
3 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
3 4
2 4
2 4
1 4
1 4
0 4
0 4
0 4
1 2
1 2
1 2
0 2
0 22
1 22
2 22
1 22
1 22
1 22
0 22
0 36
1 36
2 36
2 36
1 36
1 36
1 36
0 36
0 31
1 31
1 31
1 31
1 31
1 31
0 31
0 33
1 33
1 33
0 33
0 46
1 46
2 46
3 46
2 46
1 46
0 46
0 28
0 28
0 6
0 6
1 6
2 6
3 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
3 4
3 4
2 4
1 4
1 4
0 4
0 4
0 4
0 2
0 2
0 2
0 22
1 22
2 22
3 22
3 22
2 22
1 22
0 22
0 36
1 36
2 36
3 36
2 36
2 36
2 36
1 36
0 36
0 31
0 31
0 31
0 31
0 31
0 33
1 33
2 33
1 33
0 33
0 46
1 46
2 46
2 46
1 46
1 46
0 46
0 6
0 6
1 6
1 6
2 6
3 6
4 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
2 4
1 4
1 4
0 4
0 4
0 47
0 47
0 47
0 2
0 2
0 2
0 22
1 22
2 22
3 22
2 22
2 22
1 22
0 22
0 36
1 36
2 36
3 36
2 36
2 36
1 36
0 36
0 31
0 31
0 31
0 31
0 31
0 31
0 33
1 33
2 33
1 33
0 33
0 46
1 46
2 46
2 46
1 46
1 46
0 46
0 6
0 6
1 6
1 6
2 6
3 6
4 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
3 4
2 4
1 4
0 4
0 4
0 47
0 47
0 47
0 22
0 22
0 22
1 22
2 22
3 22
4 22
4 22
3 22
2 22
1 22
0 22
0 36
1 36
2 36
2 36
2 36
1 36
0 36
0 26
0 26
0 26
0 26
0 26
0 26
0 33
1 33
2 33
2 33
1 33
0 33
0 46
1 46
1 46
0 46
0 46
0 17
0 6
1 6
2 6
2 6
3 6
3 6
4 6
5 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
1 4
0 4
0 4
0 47
0 47
1 47
1 47
1 47
0 22
0 22
0 22
1 22
2 22
3 22
4 22
3 22
3 22
2 22
1 22
0 22
0 36
1 36
2 36
2 36
2 36
1 36
0 36
0 26
0 26
0 26
0 26
0 26
0 26
0 33
1 33
2 33
2 33
1 33
0 33
0 46
1 46
1 46
0 46
0 46
0 17
0 6
1 6
2 6
2 6
3 6
3 6
4 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
2 4
2 4
1 4
0 4
0 47
0 47
1 47
1 47
1 47
1 22
1 22
1 22
2 22
3 22
4 22
5 22
4 22
3 22
2 22
1 22
0 22
0 36
0 36
1 36
1 36
2 36
1 36
0 36
0 26
1 26
1 26
1 26
1 26
0 26
0 33
1 33
2 33
2 33
1 33
0 33
0 46
0 46
0 46
0 17
0 17
1 17
0 17
0 6
1 6
2 6
2 6
2 6
3 6
4 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
0 4
0 47
0 47
1 47
1 47
2 47
2 47
2 47
1 22
1 22
1 22
2 22
3 22
4 22
5 22
4 22
3 22
2 22
1 22
0 22
0 36
0 36
1 36
1 36
2 36
1 36
0 36
0 26
1 26
1 26
1 26
1 26
0 26
0 33
1 33
2 33
2 33
1 33
0 33
0 46
0 46
0 46
0 17
0 17
1 17
0 17
0 6
1 6
2 6
2 6
2 6
3 6
4 6
4 6
3 6
2 6
1 6
0 6
0 4
1 4
1 4
0 4
0 47
1 47
1 47
2 47
2 47
2 47
2 22
2 22
2 22
3 22
4 22
5 22
5 22
4 22
3 22
2 22
1 22
0 22
0 38
0 38
0 36
0 36
1 36
0 36
0 26
1 26
2 26
2 26
2 26
2 26
1 26
0 26
0 33
1 33
2 33
1 33
0 33
0 46
0 17
0 17
1 17
1 17
2 17
1 17
0 17
0 6
1 6
1 6
1 6
2 6
3 6
3 6
3 6
2 6
1 6
0 6
0 4
1 4
0 4
0 47
1 47
2 47
2 47
3 47
3 47
3 47
2 22
2 22
2 22
3 22
4 22
5 22
4 22
3 22
2 22
1 22
0 22
0 38
0 38
0 38
0 36
0 36
1 36
0 36
0 26
1 26
2 26
2 26
2 26
2 26
1 26
0 26
0 33
1 33
2 33
1 33
0 33
0 46
0 17
0 17
1 17
1 17
2 17
1 17
0 17
0 6
1 6
1 6
1 6
2 6
3 6
3 6
3 6
2 6
1 6
0 6
0 4
1 4
0 4
0 47
1 47
2 47
2 47
3 47
3 47
3 47
3 22
3 22
3 22
4 22
5 22
5 22
4 22
3 22
2 22
1 22
0 22
0 38
1 38
1 38
0 38
0 38
0 36
0 26
1 26
2 26
3 26
3 26
3 26
3 26
2 26
1 26
0 26
0 33
1 33
1 33
0 33
0 17
1 17
1 17
2 17
2 17
2 17
1 17
0 17
0 32
0 6
0 6
0 6
1 6
2 6
2 6
3 6
2 6
1 6
0 6
0 4
0 4
0 47
1 47
2 47
3 47
3 47
4 47
4 47
4 47
3 22
3 22
3 22
4 22
5 22
5 22
4 22
3 22
2 22
1 22
0 22
0 38
1 38
1 38
0 38
0 38
0 36
0 26
1 26
2 26
3 26
3 26
3 26
3 26
2 26
1 26
0 26
0 33
1 33
1 33
0 33
0 17
1 17
1 17
2 17
2 17
3 17
2 17
1 17
0 17
0 6
0 6
0 6
1 6
2 6
2 6
3 6
2 6
1 6
0 6
0 4
0 4
0 47
1 47
2 47
3 47
3 47
4 47
4 47
4 47
3 22
3 22
4 22
4 22
4 22
4 22
3 22
2 22
1 22
0 22
0 22
0 38
1 38
2 38
1 38
1 38
0 38
0 26
1 26
2 26
3 26
3 26
2 26
2 26
2 26
1 26
